FlightDate,Origin,DepDelay,ArrDelay,CRSElapsedTime,ActualElapsedTime
1993-10-23,SLC,3,2,119,117
1993-10-24,SLC,2,0,120,118
1993-10-25,SLC,2,1,120,119
1993-10-26,SLC,2,1,120,119
1993-10-27,SLC,2,2,120,120
1993-10-28,SLC,4,3,120,119
1993-10-29,SLC,7,5,121,120
1993-10-30,SLC,4,2,120,118
1993-10-31,SLC,5,3,119,118
1993-11-01,SLC,2,0,119,117
1993-11-02,SLC,5,3,120,118
1993-11-03,SLC,3,2,117,117
1993-11-04,SLC,7,5,119,116
1993-11-05,SLC,7,8,119,120
1993-11-06,SLC,4,1,120,118
1993-11-07,SLC,4,0,120,116
1993-11-08,SLC,3,0,119,116
1993-11-09,SLC,4,3,120,119
1993-11-10,SLC,5,4,119,118
1993-11-11,SLC,2,2,119,118
1993-11-12,SLC,3,5,118,120
1993-11-13,SLC,2,1,120,119
1993-11-14,SLC,11,13,119,120
1993-11-15,SLC,4,3,119,118
1993-11-16,SLC,4,4,119,119
1993-11-17,SLC,4,4,118,117
1993-11-18,SLC,11,10,120,118
1993-11-19,SLC,8,7,119,118
1993-11-20,SLC,5,3,119,118
1993-11-21,SLC,2,1,119,118
1993-11-22,SLC,6,5,120,120
1993-11-23,SLC,17,17,120,120
1993-11-24,SLC,18,24,119,125
1993-11-25,SLC,10,8,123,121
1993-11-26,SLC,1,-1,121,118
1993-11-27,SLC,7,6,119,118
1993-11-28,SLC,10,10,118,118
1993-11-29,SLC,9,8,119,118
1993-11-30,SLC,8,9,120,121
1993-12-01,SLC,3,4,120,121
1993-12-02,SLC,5,6,119,120
1993-12-03,SLC,8,8,120,120
1993-12-04,SLC,5,4,120,120
1993-12-05,SLC,6,3,119,117
1993-12-06,SLC,3,1,119,117
1993-12-07,SLC,4,2,119,118
1993-12-08,SLC,9,8,120,119
1993-12-09,SLC,4,2,119,117
1993-12-10,SLC,5,5,119,118
1993-12-11,SLC,5,6,120,121
1993-12-12,SLC,15,23,119,126
1993-12-13,SLC,5,6,119,120
1993-12-14,SLC,5,7,119,120
1993-12-15,SLC,4,6,120,122
1993-12-16,SLC,13,19,121,126
1993-12-17,SLC,13,14,120,121
1993-12-18,SLC,12,8,122,118
1993-12-19,SLC,8,5,120,117
1993-12-20,SLC,6,4,120,118
1993-12-21,SLC,14,12,122,119
1993-12-22,SLC,17,17,121,122
1993-12-23,SLC,11,10,122,121
1993-12-24,SLC,4,1,121,118
1993-12-25,SLC,5,0,124,118
1993-12-26,SLC,7,2,121,116
